user_input_id,unnamed_0,gpa,unnamed_2,unnamed_3,completed_courses_grade_12,unnamed_5,completed_courses_grade_11_for_ea,unnamed_7,universiry_preferences,program_preferences,health_condition,severity,list_of_extracurricular_activities,early_general_admission
48,categories:,A,0-49,2.0,Computer Science,ICS4U,,,,,Other,,clubs,early
49,categories:,A,0-49,2.0,Interdisciplinary Studies,IDC4U/IDP4U/IDC4O/IDP4O,,,,,Other,,clubs,early
50,categories:,A,0-49,2.0,Classical Civilization,LVV4U,,,,,Other,,clubs,early
51,categories:,A,0-49,2.0,Calculus and Vectors,MCV4U,,,,,Other,,clubs,early
52,categories:,A,0-49,2.0,Mathematics of Data Management,MDM4U,,,,,Other,,clubs,early
53,categories:,A,0-49,2.0,Advanced Functions,MHF4U,,,,,Other,,clubs,early
54,categories:,A,0-49,2.0,"First Nations, Métis and Inuit Governance in Canada",NDG4M,,,,,Other,,clubs,early
55,categories:,A,0-49,2.0,Contemporary Indigenous Issues and Perspectives in a Global Context,NDW4M,,,,,Other,,clubs,early
56,categories:,A,0-49,2.0,Recreation and Healthy Active Living Leadership,PLF4M,,,,,Other,,clubs,early
57,categories:,A,0-49,2.0,Introductory Kinesiology,PSK4U,,,,,Other,,clubs,early
58,categories:,A,0-49,2.0,Biology,SBI4U,,,,,Other,,clubs,early
59,categories:,A,0-49,2.0,Chemistry,SCH4U/SCH4C,,,,,Other,,clubs,early
60,categories:,A,0-49,2.0,Earth and Space Science,SES4U,,,,,Other,,clubs,early
61,categories:,A,0-49,2.0,Science,SNC4M/SNC4E,,,,,Other,,clubs,early
62,categories:,A,0-49,2.0,Physics,SPH4U/SPH4C,,,,,Other,,clubs,early
63,categories:,A,0-49,2.0,Technological Design,TDJ4M,,,,,Other,,clubs,early
64,categories:,A,0-49,2.0,Computer Engineering Technology,TEJ4M,,,,,Other,,clubs,early
65,categories:,A,0-49,2.0,Communications Technology,TGJ4M,,,,,Other,,clubs,early
66,categories:,A,0-49,2.0,Green Industries,THJ4M/THJ4E,,,,,Other,,clubs,early
67,categories:,A,0-49,2.0,Health Care,TPJ4M/TPJ4C,,,,,Other,,clubs,early
68,categories:,A,0-49,2.0,Manufacturing Engineering Technology,TMJ4M,,,,,Other,,clubs,early
69,categories:,A,0-49,2.0,Advanced Learning Strategies: Skills for Success After Secondary School,GLS4O/GLE4O,,,,,Other,,clubs,early
70,categories:,A,0-49,2.0,Healthy Active Living Education,PPL4O,,,,,Other,,clubs,early
71,categories:,A,0-49,2.0,Mathematics for College Technology,MCT4C,,,,,Other,,clubs,early
72,categories:,A,0-49,2.0,Foundatons for College Mathematics,MAP4C,,,,,Other,,clubs,early
73,categories:,A,0-49,2.0,Mathematics for Work and Everyday Life,MEL4E,,,,,Other,,clubs,early
74,categories:,A,0-49,2.0,Food and Healthy Living,HFL4E,,,,,Other,,clubs,early
75,categories:,A,0-49,2.0,Personal Life Management,HIP4O,,,,,Other,,clubs,early
76,categories:,A,0-49,2.0,Working with School-Age Children and Adolescents,HPD4C,,,,,Other,,clubs,early
77,categories:,A,0-49,2.0,Communications Technology: Digital Imagery and Web Design,TGJ4O,,,,,Other,,clubs,early
78,categories:,A,0-49,2.0,Computer Technology,TEJ4E,,,,,Other,,clubs,early
79,categories:,A,0-49,2.0,Construction Engineering Technology,TCJ4C,,,,,Other,,clubs,early
80,categories:,A,0-49,2.0,Construction Technology,TCJ4E,,,,,Other,,clubs,early
81,categories:,A,0-49,2.0,Custom Woodworking,TWJ4E,,,,,Other,,clubs,early
82,categories:,A,0-49,2.0,Hairstyling and Aesthetics,TXJ4E,,,,,Other,,clubs,early
83,categories:,A,0-49,2.0,Health Care: Support Service,TPJ4E,,,,,Other,,clubs,early
84,categories:,A,0-49,2.0,Child Development and Greontology,TOJ4C,,,,,Other,,clubs,early
85,categories:,A,0-49,2.0,Hospitality and Tourism,TFJ4C/TFJ4E,,,,,Other,,clubs,early
86,categories:,A,0-49,2.0,Manufacturing Technology,TMJ4C/TMJ4E,,,,,Other,,clubs,early
87,categories:,A,0-49,2.0,Technological Design in the Twenty-first Century,TDJ4O,,,,,Other,,clubs,early
88,categories:,A,0-49,2.0,Transportation Technology,TTJ4C,,,,,Other,,clubs,early
89,categories:,A,0-49,2.0,Transportation Technology: Vehicle Maintenance,TTJ4E,,,,,Other,,clubs,early
